,tout,s,i,t1,t2,t3,t4,t5,sp,m,rh
0,-2.291666666666667,0.0,586.8182697076296,21.698100970233146,22.282268270259838,21.80933630340637,20.553385967483877,20.188175524218046,24.000000000000004,2.945598814074054,238757.83963318996
1,-1.7833333333333337,0.0,586.8182697076296,22.7223785949228,23.999006787911295,23.42198399261632,20.820424202333843,20.82191262143497,24.01,2.945598814074054,246389.87620349947
2,-1.2749999999999997,0.0,586.8182697076296,22.65355821498717,23.964069430135197,23.373267561435643,20.867924893933328,21.02507401881037,24.04,2.945598814074054,242751.55787068937
3,-0.7666666666666668,0.0,586.8182697076296,22.600197706566213,24.022965615859434,23.43916959546718,20.914060574131426,21.20623391434604,24.09,2.945598814074054,245923.28829261937
4,-0.2583333333333331,0.0,586.8182697076296,22.672249754789586,24.056425640057014,23.717259308264012,20.975097487884465,21.33250936803049,24.09,2.945598814074054,246837.81468829527
5,0.25,0.0,586.8182697076296,22.750512768879904,24.07795055949061,23.945735635725924,21.028841758016068,21.41678223688488,24.12,2.945598814074054,246826.57591178373
6,0.7583333333333335,0.0,586.8182697076296,22.789415535796756,24.15134385970963,24.051986761109127,21.06487385184776,21.483609814130762,24.14,2.945598814074054,246677.67573623726
7,1.2666666666666664,0.0,586.8182697076296,22.79055801441606,24.09052198964901,24.05998147943113,21.065521407746193,21.506476016888932,24.18,2.945598814074054,246845.50506977734
8,1.7749999999999997,0.0,586.8182697076296,22.813106625196795,24.13834829027472,24.129252215913873,21.083571182743622,21.554628849414982,24.11,2.945598814074054,246807.31960939424
9,2.2833333333333337,0.0,586.8182697076296,22.831218545529033,24.24748907291236,24.11054298844833,21.095594854764254,21.559623129887328,24.16,2.945598814074054,246836.21968704858
10,2.791666666666667,0.0,586.8182697076296,22.858883946747483,24.12098333729361,24.18634337550656,21.10467453151771,21.57554877501046,24.22,2.945598814074054,246778.99979856025
11,3.3,0.0,586.8182697076296,22.888605150197854,24.310241537233928,24.268474406374988,21.113412692204136,21.60710655956616,24.19,2.945598814074054,246570.9757975657
12,3.208333333333333,0.0,586.8182697076296,22.89517262083112,24.222076774198605,24.173891688483664,21.1176119730687,21.596648920663036,24.3,2.945598814074054,246780.4250235607
13,3.1166666666666667,0.0,586.8182697076296,22.910979442796766,24.355213235309787,24.22190660205536,21.125371840034003,21.61226553467373,24.15,2.945598814074054,246314.94487890397
14,3.025,0.0,586.8182697076296,22.9099148182357,24.378415981017326,24.29974630569264,21.126380603334574,21.631935286815363,24.43,2.945598814074054,246762.63358798434
15,2.9333333333333336,0.0,586.8182697076296,22.90925864251282,24.36312448093132,24.365952718070112,21.12791231880485,21.65280486435313,24.42,2.945598814074054,246857.67426212097
16,2.8416666666666663,0.0,586.8182697076296,22.894414552139178,24.226377559226602,24.295672039833335,21.1240214547636,21.632146582357997,24.45,2.945598814074054,247092.4054923452
17,2.75,0.0,586.8182697076296,22.932843179031032,24.428264647387298,24.339269205137448,21.137541730255265,21.639488795219002,24.24,2.945598814074054,245991.39887826727
18,2.658333333333333,0.0,586.8182697076296,22.934586663485984,24.240109726867534,24.41323307374225,21.14467096784625,21.655117120813433,24.44,2.945598814074054,246924.9152010322
19,2.566666666666667,0.0,586.8182697076296,22.914565751860078,24.330491909457802,24.260780868825123,21.14260504177118,21.644168696837667,24.27,2.945598814074054,247009.51393457205
20,2.475,0.0,586.8182697076296,22.93403320782061,24.48298234460609,24.31332470266984,21.150234710509245,21.654691385667615,24.35,2.945598814074054,246427.0186103825
21,2.3833333333333333,0.0,586.8182697076296,22.935664461245914,24.37739831174849,24.432036642487873,21.15429692514355,21.672655817828122,24.62,2.945598814074054,246898.07642071362
22,2.291666666666667,0.0,586.8182697076296,22.950300610079584,24.60489328859795,24.503979473394246,21.162600254746877,21.698089860798454,24.49,2.945598814074054,245878.88635423957
23,2.2,0.0,586.8182697076296,22.917445356558108,24.392651219367533,24.455940405093823,21.1583758469575,21.68118067811818,24.29,2.945598814074054,247087.64282349593
24,2.1083333333333334,0.0,586.8182697076296,22.913554724157063,24.548500562079855,24.43338044838987,21.160290501567616,21.669735541016397,24.4,2.945598814074054,246747.45025876796
25,2.0166666666666666,0.0,586.8182697076296,22.918876476088382,24.54002561741212,24.483426392858163,21.165462996140963,21.68357849849368,24.43,2.945598814074054,246799.64165727995
26,1.9250000000000005,0.0,586.8182697076296,22.897425476420242,24.40848867202389,24.401440791741447,21.161767767806822,21.669538425565854,24.69,2.945598814074054,247079.8594492282
27,1.8333333333333337,0.0,586.8182697076296,22.908850380530172,24.55055738794264,24.476764213086852,21.166280230887004,21.68512560732656,24.66,2.945598814074054,246563.61871464358
28,1.7416666666666667,0.0,586.8182697076296,22.921556955384755,24.66446128906643,24.55075898828839,21.175151465944232,21.708606353014044,24.71,2.945598814074054,246415.20321633527
29,1.6500000000000001,0.0,586.8182697076296,22.893700374810848,24.550877916956964,24.40537688183225,21.17209743360392,21.68915765412684,24.51,2.945598814074054,247088.01188153515
30,1.5583333333333333,0.0,586.8182697076296,22.901433371128803,24.417299104553408,24.433832279742933,21.17773721297248,21.688424007201338,24.47,2.945598814074054,246657.34513698268
31,1.4666666666666668,0.0,586.8182697076296,22.916296955580897,24.617239012346836,24.525655356942092,21.187231930796308,21.706134452333522,24.57,2.945598814074054,245993.64271710673
32,1.375,0.0,586.8182697076296,22.884328939483893,24.40152231098207,24.441215175807127,21.18218942376938,21.682595293600745,24.37,2.945598814074054,247115.62752903724
33,1.2833333333333337,0.0,586.8182697076296,22.98574235597568,24.75677108198197,24.50959519574788,21.21691752158944,21.740455066545223,24.41,2.945598814074054,242418.6167283354
34,1.1916666666666669,0.0,586.8182697076296,22.946284151729394,24.877365500051894,24.44943897364647,21.220882852033128,21.747307985437736,24.55,2.945598814074054,247044.31314568885
35,1.1,0.0,586.8182697076296,22.907376152324254,24.761375699257535,24.494256001137643,21.217438158034078,21.7489464657103,24.69,2.945598814074054,246363.61484479814
36,1.1,0.0,586.8182697076296,22.884218508138183,24.49104351000736,24.567077956560148,21.208400851016666,21.745979793669,24.74,2.945598814074054,246883.2344619505
37,1.1,0.0,586.8182697076296,22.873408700848827,24.756161005564103,24.49741698130668,21.19779634870072,21.72254266068624,24.9,2.945598814074054,246976.82552663115
38,1.1,0.0,586.8182697076296,22.889728516740874,24.51294612435108,24.564705059864774,21.20107065390876,21.72748135113854,24.94,2.945598814074054,246581.75112860062
39,1.1,0.0,586.8182697076296,22.915041532967276,24.696662207519797,24.63174100496695,21.207913246017803,21.745828515965897,24.61,2.945598814074054,246301.50981081324
40,1.1,0.0,586.8182697076296,22.912550375013065,24.643625659899374,24.6642775761025,21.20911609270636,21.75943018443713,24.58,2.945598814074054,246877.52356598942
41,1.1,0.0,586.8182697076296,22.92404445740848,24.79565303797713,24.66806262761045,21.212946995253578,21.769482744077738,24.49,2.945598814074054,246134.84917268055
42,1.1,0.0,586.8182697076296,22.91825045023673,24.59387122344476,24.681061729702495,21.21230964495844,21.77313698288631,24.6,2.945598814074054,246894.09249571527
